frame,ke,min_j,max_j,max_vel,max_force,min_plastic_det,max_plastic_det
60,1322.838745,0.999980,1.000014,0.925692,348.129181,1.000000,1.000000
61,1322.861938,0.999983,1.000018,0.925670,353.056824,1.000000,1.000000
62,1322.881714,0.999979,1.000013,0.925772,348.145172,1.000000,1.000000
63,1322.898315,0.999986,1.000017,0.925788,346.400146,1.000000,1.000000
64,1322.912720,0.999981,1.000018,0.925685,350.479523,1.000000,1.000000
65,1322.924316,0.999986,1.000021,0.925794,348.158295,1.000000,1.000000
66,1266.447021,0.930315,1.002234,0.936386,13306.885742,0.965567,1.000000
67,1138.869995,0.879676,1.011853,0.944179,10129.277344,0.909666,1.005312
68,1036.637085,0.865006,1.025446,0.948116,5615.543945,0.874029,1.013291
69,966.985840,0.842847,1.031062,0.933960,5038.206055,0.856654,1.024379
70,915.540955,0.832177,1.045486,0.925675,4738.004395,0.843094,1.033800
71,876.024048,0.819825,1.055640,0.914747,4921.615234,0.830011,1.045078
72,806.248230,0.807067,1.065105,0.932383,5762.438965,0.819418,1.056501
73,745.777161,0.809568,1.069334,0.965574,4554.229980,0.814677,1.060301
74,697.486938,0.800974,1.069207,1.008847,4904.079102,0.809992,1.062328
75,658.725220,0.793034,1.071565,0.952711,4751.536133,0.801232,1.063927
76,627.918274,0.775300,1.074175,0.915404,4706.489258,0.789368,1.066224
77,603.432495,0.755754,1.078438,0.902795,4675.275391,0.769027,1.069634
78,583.934448,0.737230,1.081845,0.885940,4655.157715,0.750012,1.073435
79,532.750732,0.719657,1.085317,0.862048,4644.736816,0.730759,1.077021
80,485.740265,0.715831,1.085176,0.839974,4230.745117,0.722882,1.077606
81,449.349945,0.710597,1.084599,0.830572,4228.948242,0.717237,1.078028
82,421.519501,0.704980,1.084676,0.823408,4314.164062,0.711409,1.078028
83,399.835022,0.700558,1.084043,0.807673,4321.811523,0.707113,1.078028
84,382.351257,0.695770,1.084916,0.802757,4321.321777,0.702551,1.078028
85,368.661316,0.675319,1.085600,0.788343,4320.243164,0.688119,1.078028
86,357.544678,0.655161,1.092388,0.770886,4367.801270,0.667550,1.082283
87,348.731720,0.635239,1.100051,0.757951,4374.020508,0.647389,1.089677
88,341.731964,0.615409,1.108428,0.749543,4393.043945,0.627328,1.097561
89,331.547180,0.595597,1.117058,0.743273,4763.304199,0.607376,1.106055
90,298.664124,0.578123,1.121959,0.739846,3883.305664,0.586884,1.113433
91,274.016663,0.566648,1.128199,0.736500,3771.836182,0.574820,1.119371
92,256.456879,0.556473,1.134300,0.732560,3328.004150,0.563556,1.124311
93,243.303818,0.544882,1.140573,0.718976,3664.499512,0.552805,1.129707
94,233.296265,0.534001,1.145326,0.710904,3487.290039,0.542017,1.135166
95,225.716965,0.523101,1.150465,0.703787,3621.183594,0.530690,1.140043
96,219.284882,0.512100,1.155596,0.693139,3595.125000,0.519563,1.144927
97,214.237473,0.501364,1.161340,0.686759,3563.075195,0.508711,1.149900
98,210.048035,0.491047,1.166539,0.677867,3535.450195,0.498218,1.155463
99,206.700348,0.481236,1.171811,0.671749,3644.897461,0.488223,1.161334
100,203.196381,0.471736,1.177982,0.670174,3747.005859,0.478568,1.167559
101,199.957001,0.463031,1.184642,0.660436,3844.231201,0.469478,1.174264
102,198.150696,0.454871,1.192110,0.650590,3916.281738,0.461093,1.181197
103,196.634430,0.445743,1.198229,0.648032,4013.887451,0.453374,1.187441
104,198.638428,0.423309,1.203346,0.649092,4614.827637,0.434904,1.196121
105,200.822586,0.398734,1.258245,0.648099,4412.624023,0.410915,1.226095
106,218.205460,0.368572,1.225945,1.361791,4745.630859,0.384070,1.208828
107,252.000732,0.329311,1.251147,1.351002,6315.471680,0.347437,1.233420
108,296.639526,0.301578,1.280830,2.501642,8309.978516,0.313623,1.257107
109,320.580780,0.303456,1.242124,2.495744,15516.280273,0.306738,1.264938
110,466.371490,0.286519,1.347130,2.391773,22261.443359,0.305347,1.309181
111,73967.250000,-15.353342,18.053385,45.238205,4320769.000000,0.342643,2.560571
112,1695326.000000,-367.992828,336.963745,85.000008,45619068.000000,0.262020,4.995716
113,3853630.500000,-1849.133667,2282.184570,85.000015,72868944.000000,0.262020,4.995716
114,5262020.000000,-3841.964111,3259.024414,85.000015,102117904.000000,0.245840,4.997772
115,7366726.000000,-7761.886230,8469.257812,85.000015,135683440.000000,0.203065,4.997772
116,8761529.000000,-13189.088867,15980.017578,85.000015,2335543552.000000,0.201717,4.997772
117,8473611.000000,-21885.816406,25850.433594,85.000015,632656704.000000,0.201717,4.997772
118,9001720.000000,-31993.263672,37992.074219,85.000015,1186045952.000000,0.201717,4.997772
119,9144953.000000,-42824.050781,52345.976562,85.000015,1400756992.000000,0.201717,4.997772
120,9363809.000000,-54224.687500,68854.937500,85.000008,1669082752.000000,0.201717,4.997772
121,9554460.000000,-65600.101562,87465.679688,85.000015,2212955904.000000,0.201717,4.997772
122,9373920.000000,-81230.625000,108113.648438,85.000015,446458240.000000,0.201717,4.995716
123,9841748.000000,-98153.734375,130638.406250,85.000015,4269782016.000000,0.201717,4.995716
124,9902142.000000,-116129.054688,154777.250000,85.000015,1007737664.000000,0.201717,4.995716
125,9652039.000000,-135015.968750,180394.562500,85.000015,4407509504.000000,0.201717,4.995716
126,9679259.000000,-154648.375000,207396.781250,85.000015,5335448576.000000,0.201717,4.995716
127,9261731.000000,-174824.921875,235729.359375,85.000008,5047997952.000000,0.201717,4.995716
128,9323900.000000,-195378.515625,265375.375000,85.000015,9371726848.000000,0.201717,4.994596
129,9059318.000000,-216182.171875,296336.312500,85.000015,10143362048.000000,0.201717,4.994596
130,9298056.000000,-237115.812500,328573.625000,85.000008,7794143232.000000,0.201717,4.994596
